name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Allan Hills 84212,814,Valid,L6,7.1,Found,01/01/1984,-76.76216,158.79286,(-76.76216; 158.79286)
Allan Hills 84213,815,Valid,H5,6.7,Found,01/01/1984,-76.67544,159.30823,(-76.67544; 159.30823)
Allan Hills 84214,816,Valid,H6,4.9,Found,01/01/1984,-76.88141,158.58062,(-76.88141; 158.58062)
Allan Hills 84215,817,Valid,H6,9.2,Found,01/01/1984,-76.67946,159.34206,(-76.67946; 159.34206)
Allan Hills 84216,818,Valid,H5,5.5,Found,01/01/1984,-76.8209,158.25076,(-76.8209; 158.25076)
Allan Hills 84217,819,Valid,H5,2.7,Found,01/01/1984,-77.0203,156.91357,(-77.0203; 156.91357)
Allan Hills 84218,820,Valid,L6,33,Found,01/01/1984,-77.01978,156.91549,(-77.01978; 156.91549)
Allan Hills 84219,821,Valid,L6,9.8,Found,01/01/1984,-77.00107,156.91147,(-77.00107; 156.91147)
Allan Hills 84220,822,Valid,EH3,8.4,Found,01/01/1984,-76.75646,158.91429,(-76.75646; 158.91429)
Allan Hills 84221,823,Valid,H5,16.4,Found,01/01/1984,-76.88861,157.03,(-76.88861; 157.03)
Allan Hills 84222,824,Valid,H5,9.9,Found,01/01/1984,-76.67395,159.32548,(-76.67395; 159.32548)
Allan Hills 84223,825,Valid,H5,10.6,Found,01/01/1984,-77.02619,156.91944,(-77.02619; 156.91944)
Allan Hills 84224,826,Valid,H6,7.2,Found,01/01/1984,-76.69405,159.38838,(-76.69405; 159.38838)
Allan Hills 84225,827,Valid,H5,8.7,Found,01/01/1984,-76.65827,159.32682,(-76.65827; 159.32682)
Allan Hills 84226,828,Valid,H5,27.6,Found,01/01/1984,-76.67709,159.30462,(-76.67709; 159.30462)
Allan Hills 84227,829,Valid,H5,12.1,Found,01/01/1984,-76.71175,158.78789,(-76.71175; 158.78789)
Allan Hills 84228,830,Valid,H5,9.8,Found,01/01/1984,-76.6836,159.34932,(-76.6836; 159.34932)
Allan Hills 84229,831,Valid,L6,6.9,Found,01/01/1984,-76.73228,158.81663,(-76.73228; 158.81663)
Allan Hills 84230,832,Valid,H4,2.4,Found,01/01/1984,-76.75647,158.91425,(-76.75647; 158.91425)
Cumulus Hills 04045,32511,Valid,L6,31.6,Found,01/01/2003,,,
Allan Hills 84231,833,Valid,L6,42.6,Found,01/01/1984,-76.9028,156.95373,(-76.9028; 156.95373)
Allan Hills 84232,834,Valid,H4,9.9,Found,01/01/1984,-76.71074,158.74629,(-76.71074; 158.74629)
Allan Hills 84233,835,Valid,Iron; ungrouped,13.6,Found,01/01/1984,-76.7119,158.72942,(-76.7119; 158.72942)
Allan Hills 84234,836,Valid,L6,3.9,Found,01/01/1984,-76.95262,156.9376,(-76.95262; 156.9376)
Allan Hills 84235,837,Valid,EH3,6,Found,01/01/1984,-76.75174,158.76483,(-76.75174; 158.76483)
Allan Hills 84236,838,Valid,H5,32.3,Found,01/01/1984,-76.70984,159.3266,(-76.70984; 159.3266)
Allan Hills 84237,839,Valid,H5,7.5,Found,01/01/1984,-76.69863,159.39845,(-76.69863; 159.39845)
Allan Hills 84238,840,Valid,L6,1.9,Found,01/01/1984,-76.80207,158.15703,(-76.80207; 158.15703)
Allan Hills 84239,841,Valid,H5,14.7,Found,01/01/1984,-76.68787,159.35847,(-76.68787; 159.35847)
Allan Hills 84240,842,Valid,H5,25.9,Found,01/01/1984,-76.76681,158.7999,(-76.76681; 158.7999)
Allan Hills 84241,843,Valid,H5,16.7,Found,01/01/1984,-76.97482,156.92322,(-76.97482; 156.92322)
Allan Hills 84242,844,Valid,H6,16.9,Found,01/01/1984,-76.80333,158.16446,(-76.80333; 158.16446)
Allan Hills 84243,845,Valid,H6,48.9,Found,01/01/1984,-76.71667,159.66667,(-76.71667; 159.66667)
Allan Hills 84244,846,Valid,L6,33.5,Found,01/01/1984,-76.90362,157.00926,(-76.90362; 157.00926)
Allan Hills 84245,847,Valid,H5,18.9,Found,01/01/1984,-76.96351,156.93272,(-76.96351; 156.93272)
Allan Hills 84246,848,Valid,H5,1.8,Found,01/01/1984,-76.86689,158.52155,(-76.86689; 158.52155)
Allan Hills 84247,849,Valid,L6,49.6,Found,01/01/1984,-76.90913,156.99222,(-76.90913; 156.99222)
Allan Hills 84248,850,Valid,H5,4.9,Found,01/01/1984,-76.69255,159.39066,(-76.69255; 159.39066)
